Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Telangana, 30-06-2020,Monthly, 6.92, 4577995.00, 37.68,Urban
Tripura, 31-05-2019,Monthly, 34.69, 423127.00, 69.50,Urban
Tripura, 30-06-2019,Monthly, 25.59, 408738.00, 58.80,Urban
Tripura, 31-07-2019,Monthly, 25.81, 410583.00, 59.10,Urban
Tripura, 31-08-2019,Monthly, 33.45, 368977.00, 59.07,Urban
Tripura, 30-09-2019,Monthly, 33.57, 418043.00, 66.90,Urban
Tripura, 31-10-2019,Monthly, 26.67, 414808.00, 60.00,Urban
Tripura, 30-11-2019,Monthly, 27.15, 427700.00, 62.14,Urban
Tripura, 31-12-2019,Monthly, 33.48, 399427.00, 63.41,Urban
Tripura, 31-01-2020,Monthly, 34.37, 450155.00, 72.26,Urban
Tripura, 29-02-2020,Monthly, 33.88, 415339.00, 66.04,Urban
Tripura, 31-03-2020,Monthly, 25.69, 450271.00, 63.56,Urban
Tripura, 30-04-2020,Monthly, 34.88, 296431.00, 47.65,Urban
Tripura, 31-05-2020,Monthly, 16.78, 384999.00, 48.31,Urban
Tripura, 30-06-2020,Monthly, 27.47, 391015.00, 56.17,Urban
Uttar Pradesh, 31-05-2019,Monthly, 14.40, 13391244.00, 40.43,Urban
Uttar Pradesh, 30-06-2019,Monthly, 11.62, 13624452.00, 39.75,Urban
Uttar Pradesh, 31-07-2019,Monthly, 11.80, 13862431.00, 40.43,Urban
Uttar Pradesh, 31-08-2019,Monthly, 14.73, 13580241.00, 40.87,Urban
Uttar Pradesh, 30-09-2019,Monthly, 13.58, 13522970.00, 40.07,Urban
Uttar Pradesh, 31-10-2019,Monthly, 10.35, 13938303.00, 39.71,Urban
Uttar Pradesh, 30-11-2019,Monthly, 11.31, 14128888.00, 40.60,Urban
Uttar Pradesh, 31-12-2019,Monthly, 12.37, 13857200.00, 40.21,Urban
Uttar Pradesh, 31-01-2020,Monthly, 12.34, 13656250.00, 39.52,Urban
Uttar Pradesh, 29-02-2020,Monthly, 11.65, 13803099.00, 39.54,Urban
Uttar Pradesh, 31-03-2020,Monthly, 12.32, 13889632.00, 40.00,Urban
Uttar Pradesh, 30-04-2020,Monthly, 26.94, 10944379.00, 37.74,Urban
Uttar Pradesh, 31-05-2020,Monthly, 32.06, 11111486.00, 41.10,Urban
Uttar Pradesh, 30-06-2020,Monthly, 13.05, 13208724.00, 38.09,Urban
Uttarakhand, 31-05-2019,Monthly, 9.17, 676797.00, 26.33,Urban
Uttarakhand, 30-06-2019,Monthly, 4.69, 906889.00, 33.54,Urban
Uttarakhand, 31-07-2019,Monthly, 6.94, 859900.00, 32.48,Urban
Uttarakhand, 31-08-2019,Monthly, 7.43, 823967.00, 31.21,Urban
Uttarakhand, 30-09-2019,Monthly, 9.62, 711150.00, 27.51,Urban
Uttarakhand, 31-10-2019,Monthly, 4.72, 925174.00, 33.87,Urban
Uttarakhand, 30-11-2019,Monthly, 6.34, 904903.00, 33.61,Urban
Uttarakhand, 31-12-2019,Monthly, 7.39, 844779.00, 31.65,Urban
Uttarakhand, 31-01-2020,Monthly, 8.92, 725253.00, 27.55,Urban
Uttarakhand, 29-02-2020,Monthly, 5.28, 963408.00, 35.11,Urban
Uttarakhand, 31-03-2020,Monthly, 8.15, 889245.00, 33.33,Urban
Uttarakhand, 30-04-2020,Monthly, 13.18, 748041.00, 29.59,Urban
Uttarakhand, 31-05-2020,Monthly, 17.36, 778590.00, 32.27,Urban
Uttarakhand, 30-06-2020,Monthly, 5.08, 989470.00, 35.61,Urban
West Bengal, 31-05-2019,Monthly, 7.25, 11306177.00, 46.37,Urban
West Bengal, 30-06-2019,Monthly, 7.38, 10611498.00, 43.51,Urban
West Bengal, 31-07-2019,Monthly, 7.91, 10779829.00, 44.38,Urban
West Bengal, 31-08-2019,Monthly, 7.27, 11456493.00, 46.77,Urban
West Bengal, 30-09-2019,Monthly, 7.79, 11158649.00, 45.74,Urban
West Bengal, 31-10-2019,Monthly, 7.83, 10563686.00, 43.25,Urban
West Bengal, 30-11-2019,Monthly, 6.61, 10768462.00, 43.44,Urban
West Bengal, 31-12-2019,Monthly, 7.24, 11335696.00, 45.97,Urban
West Bengal, 31-01-2020,Monthly, 7.27, 11208617.00, 45.39,Urban
West Bengal, 29-02-2020,Monthly, 7.55, 10871168.00, 44.09,Urban
West Bengal, 31-03-2020,Monthly, 6.67, 10806105.00, 43.34,Urban
West Bengal, 30-04-2020,Monthly, 15.63, 9299466.00, 41.20,Urban
West Bengal, 31-05-2020,Monthly, 15.22, 9240903.00, 40.67,Urban
West Bengal, 30-06-2020,Monthly, 9.86, 9088931.00, 37.57,Urban
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
